"rt","key_press","trial_type","trial_index","trial_index_global","time_elapsed","internal_chunk_id","responses","experimental_goal_height","experimental_start_height","experimental_weeks_total","experimental_crop_type","experimental_crop_side","fixed_goal_height","fixed_start_height","fixed_weeks_total","fixed_crop_type","trial_kind","trial_number","stage","left_current_height","left_weeks_remaining","left_crop_type","right_current_height","right_weeks_remaining","right_crop_type","mean_left_growth_given_left","sd_left_growth_given_left","mean_left_growth_given_middle","sd_left_growth_given_middle","mean_left_growth_given_right","sd_left_growth_given_right","mean_right_growth_given_left","sd_right_growth_given_left","mean_right_growth_given_middle","sd_right_growth_given_middle","mean_right_growth_given_right","sd_right_growth_given_right","response","response_time","left_growth","right_growth","other_key_pressed","mouse_clicked"
"405","86","text","0","151","1114124","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","152","1121009","0-0","","200","160","1","CORN CROP","Left","200","180","1","THISTLE WEED","experimental","63","1","160","1","CORN CROP","180","1","THISTLE WEED","20","20","10","20","0","20","20","20","10","20","0","20","1","4281","-11.280933460746239","15.11418725565109","0","0"
"238","86","text","0","153","1121397","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","154","1132961","0-0","","200","190","1","WHEAT CROP","Right","200","120","8","NETTLE WEED","experimental","64","1,2,3,4,5,6,7,8","120,115.45112799894764,109.06018919471555,117.87888230857045,119.40112936551897,127.97787029876233,193.6300312250996,178.35083321001565","8,7,6,5,4,3,2,1","NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED","190,130,103.21507859921303,115.31149271510402,111.13138530921272,99.6742165086334,114.5351582052096,124.76791443719725","1,7,6,5,4,3,2,1","WHEAT CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","1,0,0,0,1,1,1,0","2121,926,501,869,1124,563,386,751","-4.548872001052352,-6.3909388042321,8.818693113854904,1.5222470569485163,8.57674093324335,65.65216092633727,-15.27919801508395,2.987721573755939","39.05814849370474,-26.78492140078697,12.096414115891,-4.180107405891311,-11.457168800579318,14.860941696576198,10.232756231987652,12.210271858170785","0","0"
"1306","86","text","0","155","1134397","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","156","1138956","0-0","","200","120","1","CORN CROP","Right","200","180","1","THISTLE WEED","experimental","65","1","180","1","THISTLE WEED","120","1","CORN CROP","0","20","10","20","20","20","0","20","10","20","20","20","0","2069","-2.095821225318647","-29.230238311529384","0","0"
"561","86","text","0","157","1139677","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","158","1151514","0-0","","200","180","2","CORN CROP","Left","200","180","1","THISTLE WEED","experimental","66","1,2","180,234.36635551226226","2,1","CORN CROP,CORN CROP","180,190","1,1","THISTLE WEED,NETTLE WEED","20,20","20,20","10,10","20,20","0,0","20,20","20,20","20,20","10,10","20,20","0,0","20,20","0,1","1541,5791","54.36635551226225,21.684921589667493","18.908894601239574,-11.147060889892282","0","0"
"530","86","text","0","159","1152174","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","160","1166583","0-0","","200","160","8","WHEAT CROP","Left","200","190","1","THISTLE WEED","experimental","67","1,2,3,4,5,6,7,8","160,171.22143522307226,218.54460354230858,226.4922407046242,233.9681157848325,214.9571711592728,174.49112185394932,191.29948324996994","8,7,6,5,4,3,2,1","WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP","190,130,166.0424685523688,165.50575927355308,176.47318310241005,206.32004451818477,222.41039144304963,196.20721446853702","1,7,6,5,4,3,2,1","THISTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","1,0,1,1,1,1,1,0","4399,405,884,473,354,659,1020,692","11.221435223072266,47.32316831923631,7.947637162315643,7.475875080208297,-19.010944625559684,-40.466049305323494,16.808361396020608,15.081771424168064","3.377102956070213,36.04246855236882,-0.5367092788157217,10.967423828856953,29.84686141577472,16.090346924864857,-26.203176974512612,46.252091408871074","0","0"
"363","86","text","0","161","1167086","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","162","1178885","0-0","","200","190","1","CORN CROP","Right","200","180","8","THISTLE WEED","experimental","68","1,2,3,4,5,6,7,8","180,200.84733708631006,230.64720517843688,231.45070257271163,214.6454210938353,200.17554267437058,157.37603216911,176.9768203281688","8,7,6,5,4,3,2,1","THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED","190,130,153.84933099661657,176.96115306719062,210.19939678679475,216.75720652436908,202.5609463008839,264.7375496324622","1,7,6,5,4,3,2,1","CORN CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","1,0,0,0,0,0,1,0","1992,1244,302,290,248,317,1542,1188","20.847337086310077,29.799868092126815,0.8034973942747707,-16.80528147887634,-14.469878419464733,-42.79951050526058,19.60078815905881,-5.218770218042211","0.08735777716657722,23.84933099661658,23.111822070574057,33.23824371960414,6.557809737574339,-14.196260223485186,62.17660333157835,-3.6545839711761356","0","0"
"408","86","text","0","163","1179463","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","164","1188621","0-0","","200","190","4","WHEAT CROP","Right","200","180","2","THISTLE WEED","experimental","69","1,2,3,4","180,172.42521554447973,180,189.9198362578101","2,1,2,1","THISTLE WEED,THISTLE WEED,NETTLE WEED,NETTLE WEED","190,212.33239780341904,219.12754455123982,215.55444609142313","4,3,2,1","WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP","0,0,0,0","20,20,20,20","10,10,10,10","20,20,20,20","20,20,20,20","20,20,20,20","0,0,0,0","20,20,20,20","10,10,10,10","20,20,20,20","20,20,20,20","20,20,20,20","0,0,0,0","1249,1452,760,551","-7.574784455520279,4.003629642014591,9.919836257810088,-8.577181433263878","22.332397803419035,6.795146747820785,-3.573098459816693,-9.183857257178952","0","0"
"279","86","text","0","165","1189050","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","166","1198049","0-0","","200","160","4","CORN CROP","Right","200","160","8","THISTLE WEED","experimental","70","1,2,3,4,5,6,7,8","160,169.12362265453314,125.88934210087803,149.61639786336883,164.90887614381387,152.2701074613605,148.58076384365847,173.18797168003306","8,7,6,5,4,3,2,1","THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED","160,151.51473467258987,118.17029325517127,159.64356416324298,160,176.08198562232434,159.0293681351552,131.4508003066173","4,3,2,1,4,3,2,1","CORN CROP,CORN CROP,CORN CROP,CORN CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","0,0,1,1,0,0,1,0","1001,611,924,112,374,159,568,907","9.123622654533147,-43.23428055365512,23.72705576249081,15.292478280445053,-12.638768682453348,-3.6893436177020438,24.607207836374577,20.67095013810414","-8.485265327410126,-33.344441417418594,41.47327090807171,48.473669537269394,16.081985622324343,-17.052617487169123,-27.5785678285379,2.60066108522232","0","0"
"420","86","text","0","167","1198639","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","168","1207106","0-0","","200","180","8","WHEAT CROP","Right","200","160","1","NETTLE WEED","experimental","71","1,2,3,4,5,6,7,8","160,130,165.48702011677238,224.6801119096818,237.95853732687243,248.69601924849837,239.16385855356944,234.31566438636096","1,7,6,5,4,3,2,1","NETTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED","180,158.98601303954842,189.2308821967799,165.624186393887,191.3614659220462,237.40633315318797,238.07677988443206,256.9505174560273","8,7,6,5,4,3,2,1","WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","0,1,1,0,1,0,0,0","1140,759,234,518,52,828,364,363","22.679735301988284,35.4870201167724,59.19309179290942,13.278425417190626,10.73748192162595,-9.532160694928931,-4.8481941672084865,-14.361096443331451","-21.01398696045157,30.244869157231484,-23.60669580289293,25.737279528159217,46.044867231141794,0.6704467312440734,18.87373757159522,-32.625898821731255","0","0"
"287","86","text","0","169","1207533","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","170","1213222","0-0","","200","190","1","WHEAT CROP","Left","200","160","1","THISTLE WEED","experimental","72","1","190","1","WHEAT CROP","160","1","THISTLE WEED","20","20","10","20","0","20","20","20","10","20","0","20","0","3400","-2.7332663012727565","9.098926125634373","0","0"
"465","86","text","0","171","1213837","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","172","1223469","0-0","","200","120","8","WHEAT CROP","Left","200","120","2","THISTLE WEED","experimental","73","1,2,3,4,5,6,7,8","120,125.15569376639394,142.17719937555762,180.0534786287707,163.2605995901591,181.93335807175845,212.9884555875487,199.48231405793223","8,7,6,5,4,3,2,1","WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP","120,132.28845063582065,140,180.47024602175313,183.42321188110134,219.64721124358363,231.4593718586762,256.1500484044556","2,1,6,5,4,3,2,1","THISTLE WEED,THISTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","2248,280,461,273,452,458,233,440","5.1556937663939415,17.02150560916367,37.87627925321309,-16.79287903861161,18.67275848159936,31.055097515790262,-13.506141529616471,1.627931058778973","12.288450635820656,10.459226231321248,40.47024602175313,2.952965859348197,36.223999362482274,11.812160615092576,24.690676545779418,-17.56111092715208","0","0"
"124","86","text","0","173","1223693","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","174","1236714","0-0","","200","120","2","WHEAT CROP","Left","200","180","8","NETTLE WEED","experimental","74","1,2,3,4,5,6,7,8","120,102.8325186744267,140,151.1963568086941,149.21633964887067,159.75039969668688,197.08656433029438,210.09225175511853","2,1,6,5,4,3,2,1","WHEAT CROP,WHEAT CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP","180,171.9839145430855,189.24592742035372,215.198876589662,180.7862422566311,182.8091133143822,192.82396931302645,196.1697357136619","8,7,6,5,4,3,2,1","NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","1,0,0,1,1,0,0,1","2885,689,519,428,122,277,794,2531","-17.1674813255733,17.797059262076314,11.19635680869411,-1.9800171598234253,10.534060047816213,37.33616463360749,13.005687424824158,36.16711562858153","-8.016085456914507,17.262012877268237,25.95294916930829,-34.412634333030894,2.022871057751089,10.014855998644274,3.3457664006354584,5.919738014946558","0","0"
"455","86","text","0","175","1237299","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","176","1247396","0-0","","200","120","8","WHEAT CROP","Left","200","190","4","NETTLE WEED","experimental","75","1,2,3,4,5,6,7,8","120,153.47799727185924,179.73838220712202,165.7341451210475,179.24953938575098,206.38708030657028,246.37875051481785,229.43128011910116","8,7,6,5,4,3,2,1","WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP","190,169.2810386686626,169.04341681971997,150.08939733667816,160,151.3562886709601,193.83698679113445,215.3456760849528","4,3,2,1,4,3,2,1","NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","1,1,1,0,0,0,1,1","1645,732,550,583,485,520,680,538","33.47799727185924,26.260384935262767,-14.004237086074498,13.515394264703485,27.137540920819315,39.99167020824756,-16.94747039571669,13.571373886879991","-20.718961331337407,-0.23762184894265073,-18.95401948304181,39.2199604230091,-8.643711329039903,42.48069812017434,21.508689293818357,28.19912022521294","0","0"
"424","86","text","0","177","1247950","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","178","1254702","0-0","","200","120","1","CORN CROP","Left","200","190","4","NETTLE WEED","experimental","76","1,2,3,4","120,170,158.3519936448969,190.9166465111185","1,3,2,1","CORN CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP","190,172.35787016892905,205.89266795827544,204.62458340462462","4,3,2,1","NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED","20,20,20,20","20,20,20,20","10,10,10,10","20,20,20,20","0,0,0,0","20,20,20,20","20,20,20,20","20,20,20,20","10,10,10,10","20,20,20,20","0,0,0,0","20,20,20,20","1,0,0,0","1785,493,456,544","-10.107215551619026,-11.648006355103089,32.56465286622159,44.776120622710344","-17.642129831070957,33.534797789346385,-1.26808455365083,16.79155405008229","0","0"
"472","86","text","0","179","1255304","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","180","1264477","0-0","","200","160","2","WHEAT CROP","Left","200","160","4","NETTLE WEED","experimental","77","1,2,3,4","160,162.52151111930593,180,148.59156663374816","2,1,2,1","WHEAT CROP,WHEAT CROP,CORN CROP,CORN CROP","160,167.9598712031591,203.18232929116718,199.73163469989842","4,3,2,1","NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED","20,20,20,20","20,20,20,20","10,10,10,10","20,20,20,20","0,0,0,0","20,20,20,20","20,20,20,20","20,20,20,20","10,10,10,10","20,20,20,20","0,0,0,0","20,20,20,20","0,0,1,1","1733,682,2777,567","2.5215111193059165,17.32069662841673,-31.408433366251842,-35.035375960927205","7.959871203159114,35.22245808800806,-3.4506945912687437,33.89786048276812","0","0"
"240","86","text","0","181","1264840","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","182","1272143","0-0","","200","190","1","CORN CROP","Right","200","180","4","THISTLE WEED","experimental","78","1,2,3,4","180,148.97001478739824,148.515474733856,184.68468135648743","4,3,2,1","THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED","190,170,148.85832310808536,166.41765955361524","1,3,2,1","CORN CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP","0,0,0,0","20,20,20,20","10,10,10,10","20,20,20,20","20,20,20,20","20,20,20,20","0,0,0,0","20,20,20,20","10,10,10,10","20,20,20,20","20,20,20,20","20,20,20,20","1,0,0,0","1630,813,597,501","-31.02998521260175,-0.45454005354223537,36.16920662263142,-13.347486694312028","38.73728240175575,-21.14167689191465,17.559336445529883,33.062648381892295","0","0"
"480","86","text","0","183","1272783","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","184","1283237","0-0","","200","160","1","CORN CROP","Right","200","180","8","NETTLE WEED","experimental","79","1,2,3,4,5,6,7,8","180,133.09354273949896,118.8759584003288,112.28761277227377,113.5758449377496,118.21786553838471,110.07058893298662,109.16012312383653","8,7,6,5,4,3,2,1","NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED","160,130,95.37293974595246,39.09175578869703,31.391205730783643,35.35359119581455,26.161357520123268,22.77694120928197","1,7,6,5,4,3,2,1","CORN CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","1,0,0,0,0,1,1,1","1106,1026,648,415,400,2032,127,337","-46.90645726050104,-14.217584339170163,-6.588345628055028,1.2882321654758158,4.642020600635127,-8.147276605398098,-0.9104658091500966,30.929395271167856","66.03518925815997,-34.627060254047535,-56.281183957255436,-7.700550057913387,3.962385465030907,-9.192233675691284,-3.3844163108412992,29.920428453971486","0","0"
"478","86","text","0","185","1283865","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","186","1295126","0-0","","200","190","1","WHEAT CROP","Right","200","160","8","NETTLE WEED","experimental","80","1,2,3,4,5,6,7,8","160,167.3439875112069,169.54317123689964,175.72403026206132,203.42593308450685,194.40031857618675,227.53876454841583,222.57778304659968","8,7,6,5,4,3,2,1","NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED","190,130,176.366211027001,179.59278550306777,191.7274231971087,225.45806498770796,225.39467119903918,210.66736068726695","1,7,6,5,4,3,2,1","WHEAT CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","1,0,0,1,0,0,0,0","2337,1299,996,681,455,809,366,287","7.343987511206908,2.1991837256927336,6.180859025161691,27.701902822445525,-9.025614508320118,33.13844597222909,-4.960981501816139,-5.52547902858768","15.940339050390271,46.36621102700098,3.2265744760667974,12.134637694040915,33.73064179059926,-0.06339378866876763,-14.727310511772224,-9.342900940899366","0","0"
"1203","86","text","0","187","1296489","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","188","1302890","0-0","","200","180","4","WHEAT CROP","Right","200","180","1","THISTLE WEED","experimental","81","1,2,3,4","180,170,213.56882402124006,234.10150813691632","1,3,2,1","THISTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED","180,156.5358603712177,144.57546877973616,155.96340220856177","4,3,2,1","WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP","0,0,0,0","20,20,20,20","10,10,10,10","20,20,20,20","20,20,20,20","20,20,20,20","0,0,0,0","20,20,20,20","10,10,10,10","20,20,20,20","20,20,20,20","20,20,20,20","0,1,1,1","1948,568,206,256","-35.5594215067951,43.568824021240076,20.53268411567625,17.874009125920345","-23.464139628782302,-11.960391591481546,11.387933428825612,26.358874818729923","0","0"
"204","86","text","0","189","1303254","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","190","1313653","0-0","","200","120","8","CORN CROP","Left","200","180","2","THISTLE WEED","experimental","82","1,2,3,4,5,6,7,8","120,141.73641833209498,172.8394308900138,177.8576010272503,207.3759722132564,203.4483843980101,194.83655379129976,192.48639017606456","8,7,6,5,4,3,2,1","CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP","180,191.91414083186905,140,149.6369059722285,148.0884408932209,183.55418869968005,239.69107023406792,252.84882199925408","2,1,6,5,4,3,2,1","THISTLE WEED,THISTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","0,1,0,0,0,0,1,1","1552,675,426,433,473,458,520,182","21.73641833209498,31.10301255791882,5.018170137236487,29.518371186006103,-3.9275878152463086,-8.611830606710335,-2.350163615235195,-12.27504088294828","11.914140831869046,11.567170131045234,9.636905972228508,-1.5484650790076095,35.465747806459156,56.136881534387854,13.157751765186168,8.109892749943842","0","0"
"472","86","text","0","191","1314265","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","192","1320881","0-0","","200","120","1","CORN CROP","Left","200","120","4","NETTLE WEED","experimental","83","1,2,3,4","120,170,189.53052072316058,208.52197586472184","1,3,2,1","CORN CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP","120,131.98395824025363,167.64310732325708,157.04199244668624","4,3,2,1","NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED","20,20,20,20","20,20,20,20","10,10,10,10","20,20,20,20","0,0,0,0","20,20,20,20","20,20,20,20","20,20,20,20","10,10,10,10","20,20,20,20","0,0,0,0","20,20,20,20","0,0,0,0","537,703,410,509","26.7074140461627,19.530520723160564,18.99145514156126,21.029072349595523","11.983958240253614,35.65914908300347,-10.60111487657085,17.25684143958039","0","0"
"484","86","text","0","193","1321542","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","194","1330522","0-0","","200","180","4","CORN CROP","Left","200","160","2","NETTLE WEED","experimental","84","1,2,3,4","180,226.51914669913967,281.56035940627766,271.8347942632597","4,3,2,1","CORN CROP,CORN CROP,CORN CROP,CORN CROP","160,194.88503462961827,180,181.02701232405713","2,1,2,1","NETTLE WEED,NETTLE WEED,THISTLE WEED,THISTLE WEED","20,20,20,20","20,20,20,20","10,10,10,10","20,20,20,20","0,0,0,0","20,20,20,20","20,20,20,20","20,20,20,20","10,10,10,10","20,20,20,20","0,0,0,0","20,20,20,20","0,1,1,1","2320,1423,439,394","46.519146699139675,55.041212707138,-9.725565143017938,-12.200773886470715","34.885034629618275,-22.18312091553729,1.0270123240571283,-26.764013715608726","0","0"
"456","86","text","0","195","1331068","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","196","1337726","0-0","","200","120","2","CORN CROP","Left","200","120","1","NETTLE WEED","experimental","85","1,2","120,153.36313596730764","2,1","CORN CROP,CORN CROP","120,190","1,1","NETTLE WEED,THISTLE WEED","20,20","20,20","10,10","20,20","0,0","20,20","20,20","20,20","10,10","20,20","0,0","20,20","0,0","2482,391","33.36313596730765,1.5405141469311943","25.834296109510067,-38.12837782353023","0","0"
"529","86","text","0","197","1338385","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","198","1347307","0-0","","200","160","4","CORN CROP","Left","200","190","2","NETTLE WEED","experimental","86","1,2,3,4","160,145.9237870299388,167.57006775003464,212.81221028524354","4,3,2,1","CORN CROP,CORN CROP,CORN CROP,CORN CROP","190,195.71350518517764,180,187.10130108496244","2,1,2,1","NETTLE WEED,NETTLE WEED,THISTLE WEED,THISTLE WEED","20,20,20,20","20,20,20,20","10,10,10,10","20,20,20,20","0,0,0,0","20,20,20,20","20,20,20,20","20,20,20,20","10,10,10,10","20,20,20,20","0,0,0,0","20,20,20,20","1,1,0,1","2738,773,1068,946","-14.076212970061192,21.64628072009584,45.2421425352089,-13.78389366065116","5.71350518517764,-19.385749294623146,7.1013010849624525,-12.50219369286123","0","0"
"234","86","text","0","199","1347691","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
