"rt","key_press","trial_type","trial_index","trial_index_global","time_elapsed","internal_chunk_id","responses","experimental_goal_height","experimental_start_height","experimental_weeks_total","experimental_crop_type","experimental_crop_side","fixed_goal_height","fixed_start_height","fixed_weeks_total","fixed_crop_type","trial_kind","trial_number","stage","left_current_height","left_weeks_remaining","left_crop_type","right_current_height","right_weeks_remaining","right_crop_type","mean_left_growth_given_left","sd_left_growth_given_left","mean_left_growth_given_middle","sd_left_growth_given_middle","mean_left_growth_given_right","sd_left_growth_given_right","mean_right_growth_given_left","sd_right_growth_given_left","mean_right_growth_given_middle","sd_right_growth_given_middle","mean_right_growth_given_right","sd_right_growth_given_right","response","response_time","left_growth","right_growth","other_key_pressed","mouse_clicked"
"476","86","text","0","143","1221550","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","144","1234494","0-0","","200","190","8","WHEAT CROP","Right","200","120","2","THISTLE WEED","experimental","59","1,2,3,4,5,6,7,8","120,120.43059591813929,140,124.59252456187397,120.23203941981504,114.2393664354607,101.13626527224086,124.94420124186686","2,1,6,5,4,3,2,1","THISTLE WEED,THISTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED","190,174.7632030579935,174.89023103244267,184.94641961551176,141.4533039750103,149.6577821172033,171.54046944373616,200.33155801620347","8,7,6,5,4,3,2,1","WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","0,0,0,0,1,1,1,1","1593,496,664,556,521,463,399,683","0.43059591813929166,-2.0955781100368736,-15.407475438126028,-4.360485142058929,-5.992672984354343,-13.103101163219833,23.807935969626005,21.309573301068223","-15.236796942006489,0.12702797444916242,10.05618858306908,-43.493115640501465,8.204478142193024,21.882687326532835,28.79108857246733,1.2542161199236155","0","0"
"130","86","text","0","145","1234729","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","146","1239520","0-0","","200","120","1","WHEAT CROP","Left","200","190","1","NETTLE WEED","experimental","60","1","120","1","WHEAT CROP","190","1","NETTLE WEED","20","20","10","20","0","20","20","20","10","20","0","20","1","1686","-25.901541124246332","27.84031333886056","0","0"
"113","86","text","0","147","1239733","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","148","1249592","0-0","","200","160","8","CORN CROP","Right","200","160","8","THISTLE WEED","experimental","61","1,2,3,4,5,6,7,8","160,133.29466240426441,151.4918739393429,187.103633863151,165.33136332227664,215.71969426217885,195.2431906526184,209.73226663039955","8,7,6,5,4,3,2,1","THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED","160,172.29796113644534,196.40701108625444,211.16818142659397,235.46338681605383,282.6530197780045,306.8730867409319,331.03476581637267","8,7,6,5,4,3,2,1","CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","1,1,1,0,1,0,0,0","1207,427,367,838,754,792,881,955","-26.70533759573558,18.197211535078488,35.6117599238081,-21.77227054087435,50.388330939902204,-20.476503609560424,14.489075977781136,0.8348202861184745","12.297961136445325,24.109049949809094,14.761170340339543,24.295205389459863,47.18963296195065,24.220066962927458,24.161679075440766,-0.8549611620407954","0","0"
"190","86","text","0","149","1249872","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","150","1262872","0-0","","200","180","8","WHEAT CROP","Right","200","120","4","NETTLE WEED","experimental","62","1,2,3,4,5,6,7,8","120,146.55630166960717,165.90632478560292,190.45351241476726,160,201.69718326486836,208.69320430011112,253.03904836726576","4,3,2,1,4,3,2,1","NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED","180,194.396831078822,222.60046390692997,225.7089055581494,228.0612729228153,263.067688653422,315.108723867833,300.8843141024449","8,7,6,5,4,3,2,1","WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","1,1,0,1,1,1,0,1","953,447,376,605,1917,1491,186,869","26.556301669607166,19.350023115995768,24.54718762916435,24.375180506505032,41.69718326486836,6.996021035242757,44.34584406715463,55.11060081836276","14.396831078822014,28.203632828107974,3.108441651219442,2.3523673646658807,35.00641573060669,52.04103521441101,-14.224409765388126,48.7485273329991","0","0"
"160","86","text","0","151","1263112","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","152","1271416","0-0","","200","160","1","CORN CROP","Left","200","160","2","THISTLE WEED","experimental","63","1,2","160,190","1,1","CORN CROP,WHEAT CROP","160,187.6602654132338","2,1","THISTLE WEED,THISTLE WEED","20,20","20,20","10,10","20,20","0,0","20,20","20,20","20,20","10,10","20,20","0,0","20,20","1,1","981,854","1.7760272904464312,36.58023182515405","27.6602654132338,7.933256963008519","0","0"
"471","86","text","0","153","1272052","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","154","1283369","0-0","","200","190","8","CORN CROP","Left","200","190","4","THISTLE WEED","experimental","64","1,2,3,4,5,6,7,8","190,201.50139642853807,191.00994298861588,186.66302684316423,159.12983335518385,151.79046255056144,154.3306247512038,209.97745848624504","8,7,6,5,4,3,2,1","CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP","190,166.57175193891885,159.58376477391255,158.40765775480787,160,172.56762087704178,173.53312078136662,183.6722128515604","4,3,2,1,4,3,2,1","THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","1,1,1,1,1,1,0,1","736,563,537,367,848,253,247,1115","11.501396428538069,-10.491453439922198,-4.346916145451633,-27.53319348798039,-7.339370804622406,2.5401622006423485,55.646833735041255,13.005398672078226","-23.428248061081156,-6.987987165006311,-1.176107019104681,7.952536919863368,12.567620877041765,0.9654999043248376,10.139092070193774,-2.3656423895985377","0","0"
"183","86","text","0","155","1283672","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","156","1291152","0-0","","200","120","4","WHEAT CROP","Left","200","190","1","NETTLE WEED","experimental","65","1,2,3,4","120,89.77807402660459,89.87240240739872,119.49303327388728","4,3,2,1","WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP","190,170,181.70033043419517,216.26151914623733","1,3,2,1","NETTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED","20,20,20,20","20,20,20,20","10,10,10,10","20,20,20,20","0,0,0,0","20,20,20,20","20,20,20,20","20,20,20,20","10,10,10,10","20,20,20,20","0,0,0,0","20,20,20,20","1,1,0,1","1167,1283,610,583","-30.221925973395418,0.09432838079414378,29.62063086648856,-36.77444468964907","-32.44984022902025,11.70033043419518,34.56118871204218,11.30067311877668","0","0"
"103","86","text","0","157","1291365","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","158","1301529","0-0","","200","160","1","CORN CROP","Right","200","180","4","NETTLE WEED","experimental","66","1,2,3,4","180,170.50168605187463,171.30021126822047,197.11615626417432","4,3,2,1","NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED","160,170,191.40562975708258,199.85853179526754","1,3,2,1","CORN CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP","0,0,0,0","20,20,20,20","10,10,10,10","20,20,20,20","20,20,20,20","20,20,20,20","0,0,0,0","20,20,20,20","10,10,10,10","20,20,20,20","20,20,20,20","20,20,20,20","1,1,1,1","1210,978,549,1896","-9.498313948125386,0.7985252163458441,25.815944995953863,11.32954758069424","15.71113435379945,21.405629757082572,8.452902038184964,36.75899199765955","0","0"
"130","86","text","0","159","1301759","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","160","1312833","0-0","","200","180","8","CORN CROP","Left","200","160","1","NETTLE WEED","experimental","67","1,2,3,4,5,6,7,8","180,167.62980946633922,185.06994691015458,195.6220270282081,236.40224136839663,213.42065863380515,215.630975037757,185.96308186529825","8,7,6,5,4,3,2,1","CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP","160,130,193.93245810880063,199.41169822745803,246.96021211867884,212.82341900995837,216.5876677015153,251.93768715161838","1,7,6,5,4,3,2,1","NETTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","1,0,1,0,1,1,1,0","707,579,563,1030,398,351,497,771","-12.37019053366079,17.44013744381536,10.55208011805351,40.78021434018852,-22.981582734591495,2.210316403951857,-29.667893172458754,23.914593539170582","-13.901795051169989,63.93245810880062,5.479240118657391,47.54851389122079,-34.13679310872047,3.7642486915569235,35.35001945010309,26.92673799337931","0","0"
"152","86","text","0","161","1313065","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","162","1325709","0-0","","200","160","8","WHEAT CROP","Right","200","180","4","NETTLE WEED","experimental","68","1,2,3,4,5,6,7,8","180,186.84163451606133,219.12208465724802,209.00621064177136,160,173.20376724465194,206.85401765571453,221.3985218835296","4,3,2,1,4,3,2,1","NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED","160,157.19844411773724,176.2803929453465,180.7364961602728,211.18157522690117,240.7524362609404,272.3354705694619,277.66736156323157","8,7,6,5,4,3,2,1","WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","0,1,1,1,1,1,1,1","2220,500,526,176,860,560,1395,712","6.8416345160613465,32.280450141186705,-10.115874015476649,36.264181486756115,13.203767244651939,33.65025041106259,14.54450422781507,-9.550685226147998","-2.8015558822627677,19.081948827609263,4.456103214926284,30.445079066628384,29.570861034039243,31.583034308521494,5.33189099376964,20.04973036923363","0","0"
"487","86","text","0","163","1326326","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","164","1337580","0-0","","200","190","8","CORN CROP","Left","200","160","8","THISTLE WEED","experimental","69","1,2,3,4,5,6,7,8","190,168.18368279639205,180.29995197215607,212.45473592273203,209.53399106639395,204.8171238386748,226.75028659499588,231.35859502670866","8,7,6,5,4,3,2,1","CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP","160,206.64359948977233,204.6698779060279,237.75987520915265,250.77869261981203,222.03293156328346,206.26285790433656,202.26448914066293","8,7,6,5,4,3,2,1","THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","1,0,0,1,1,1,1,1","773,584,430,732,948,770,439,372","-21.816317203607944,12.116269175764026,32.15478395057595,-2.920744856338068,-4.716867227719143,21.933162756321085,4.608308431712764,-6.373577631876827","46.64359948977234,-1.9737215837444246,33.089997303124754,13.018817410659382,-28.74576105652858,-15.77007365894689,-3.9983687636736143,-22.69712291817411","0","0"
"529","86","text","0","165","1338349","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","166","1350170","0-0","","200","120","2","WHEAT CROP","Right","200","160","8","NETTLE WEED","experimental","70","1,2,3,4,5,6,7,8","160,175.07844378951597,218.3446606795418,237.83727651961541,227.33560920073387,260.8009551919967,284.43288590141447,275.4904006058259","8,7,6,5,4,3,2,1","NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED","120,140.64180682877821,140,155.6101980341765,152.33771007788084,173.5737393372032,197.32780022574713,195.41390327132913","2,1,6,5,4,3,2,1","WHEAT CROP,WHEAT CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","0,1,1,0,1,1,1,1","1727,735,1440,424,393,340,370,480","15.078443789515976,43.26621689002581,19.49261584007362,-10.501667318881537,33.46534599126282,23.63193070941777,-8.942485295588547,26.365764607202877","20.641806828778208,6.641028637188791,15.61019803417652,-3.272487956295651,21.23602925932235,23.754060888543947,-1.9138969544179893,-12.849442526543108","0","0"
"533","86","text","0","167","1350903","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","168","1387266","0-0","","200","180","4","WHEAT CROP","Left","200","190","8","THISTLE WEED","experimental","71","1,2,3,4,5,6,7,8","180,181.49824214056662,206.81216526714934,204.75251831140562,160,188.55887440071137,198.64279792111253,215.24769794838738","4,3,2,1,4,3,2,1","WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP","190,204.25619664479566,244.6228223784722,258.05647566301025,209.31111206721482,232.7459709441277,209.06130771308682,252.95508290769442","8,7,6,5,4,3,2,1","THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","0,1,1,1,0,1,1,1","2834,5036,644,610,703,67,565,1005","1.4982421405666244,25.313923126582733,-2.059646955743704,-9.768270046113027,28.55887440071138,10.083923520401157,16.604900027274844,-5.2928655054476135","14.256196644795661,40.36662573367653,13.433653284538067,-48.74536359579544,23.434858876912884,-23.684663231040876,43.893775194607585,-0.4225146309255468","3","0"
"520","86","text","0","169","1387946","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","170","1400450","0-0","","200","190","4","CORN CROP","Left","200","190","4","NETTLE WEED","experimental","72","1,2,3,4","190,189.0323328600567,154.73379804625063,147.28500078306533","4,3,2,1","CORN CROP,CORN CROP,CORN CROP,CORN CROP","190,189.39158472969999,183.09730178666962,202.52734440699848","4,3,2,1","NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED","20,20,20,20","20,20,20,20","10,10,10,10","20,20,20,20","0,0,0,0","20,20,20,20","20,20,20,20","20,20,20,20","10,10,10,10","20,20,20,20","0,0,0,0","20,20,20,20","1,1,1,1","6467,349,277,463","-0.9676671399433119,-34.29853481380607,-7.448797263185291,0.92033655289802","-0.6084152703000281,-6.294282943030353,19.430042620328866,-6.3057695658460355","0","0"
"686","86","text","0","171","1401326","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","172","1409973","0-0","","200","160","4","CORN CROP","Left","200","180","2","NETTLE WEED","experimental","73","1,2,3,4","160,208.80396578521078,204.82914884841767,207.8281670290671","4,3,2,1","CORN CROP,CORN CROP,CORN CROP,CORN CROP","180,214.4233477221127,180,174.24167843176784","2,1,2,1","NETTLE WEED,NETTLE WEED,THISTLE WEED,THISTLE WEED","20,20,20,20","20,20,20,20","10,10,10,10","20,20,20,20","0,0,0,0","20,20,20,20","20,20,20,20","20,20,20,20","10,10,10,10","20,20,20,20","0,0,0,0","20,20,20,20","0,1,1,1","1933,724,1320,448","48.80396578521078,-3.974816936793098,2.9990181806494105,17.840297312646168","34.4233477221127,-5.0166292055397985,-5.758321568232152,21.430407268383853","0","0"
"453","86","text","0","173","1410556","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","174","1429121","0-0","","200","160","1","CORN CROP","Right","200","180","8","NETTLE WEED","experimental","74","1,2,3,4,5,6,7,8","180,191.98075965452566,186.1761431862007,197.19070703585174,234.54825948222665,229.94017429495443,241.2635841391486,230.53394479108638","8,7,6,5,4,3,2,1","NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED","160,130,102.70203855992298,112.92673207819074,132.07483027576563,145.6917185225068,200.6137310135981,214.72961748678074","1,7,6,5,4,3,2,1","CORN CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","0,0,1,1,0,1,0,0","8359,452,364,143,788,210,60,277","11.980759654525645,-5.804616468324965,11.014563849651053,37.35755244637492,-4.608085187272223,11.323409844194178,-10.729639348062223,-3.167448976016856","28.24702855354864,-27.29796144007702,10.224693518267756,19.148098197574885,13.616888246741158,54.92201249109132,14.115886473182629,43.00684120908383","0","0"
"488","86","text","0","175","1429729","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","176","1433606","0-0","","200","190","1","CORN CROP","Left","200","120","1","NETTLE WEED","experimental","75","1","190","1","CORN CROP","120","1","NETTLE WEED","20","20","10","20","0","20","20","20","10","20","0","20","0","360","26.96784928033566","39.1254731208606","0","0"
"510","86","text","0","177","1434266","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","178","1446929","0-0","","200","120","8","WHEAT CROP","Left","200","190","2","NETTLE WEED","experimental","76","1,2,3,4,5,6,7,8","120,197.62352946859272,181.73631119318875,163.0911921890301,180.61264117077542,183.13994523017303,180.44025857311604,176.6499363688737","8,7,6,5,4,3,2,1","WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP","190,212.5267081014383,140,175.40215506505209,160.25905570687308,156.38062519156026,182.57028293461968,190.4841195500187","2,1,6,5,4,3,2,1","NETTLE WEED,NETTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","0,1,0,1,1,0,1,0","1750,427,903,554,650,560,560,696","77.62352946859272,-15.88721827540397,-18.64511900415865,17.52144898174533,2.5273040593975944,-2.69968665705699,-3.790322204242329,51.08828481466855","22.52670810143829,-3.556808288700735,35.40215506505209,-15.143099358179,-3.8784305153128296,26.189657743059428,7.913836615399021,34.78813281497229","0","0"
"140","86","text","0","179","1447169","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","180","1460709","0-0","","200","190","1","CORN CROP","Left","200","160","8","NETTLE WEED","experimental","77","1,2,3,4,5,6,7,8","190,130,133.04777692151987,134.9336966062276,107.37825853905579,83.79890969664737,109.62253148989781,131.93711892723616","1,7,6,5,4,3,2,1","CORN CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP","160,192.24055211078652,225.90545803563208,251.47347448380782,267.3190751239321,243.52526908246858,269.6794999340962,325.88844543704477","8,7,6,5,4,3,2,1","NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","0,0,0,1,1,0,0,0","688,2507,627,542,551,681,395,323","9.226931321741503,3.047776921519869,1.8859196847077406,-27.555438067171817,-23.57934884240842,25.823621793250435,22.31458743733834,32.57884697193634","32.240552110786524,33.66490592484555,25.568016448175754,15.845600640124287,-23.793806041463526,26.15423085162761,56.20894550294856,63.19360986107743","0","0"
"503","86","text","0","181","1461342","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","182","1478440","0-0","","200","180","2","CORN CROP","Right","200","160","8","THISTLE WEED","experimental","78","1,2,3,4,5,6,7,8","160,144.46531826668743,131.56178452071723,143.1485851365574,153.44664116934516,164.2145088513593,156.10706097078875,187.8405573355814","8,7,6,5,4,3,2,1","THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED","180,200.62730100597076,140,128.62814654686002,137.58109672726528,114.1179399303648,100.37822576813824,91.28750449242199","2,1,6,5,4,3,2,1","CORN CROP,CORN CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","0,1,0,1,0,0,0,0","957,1412,2354,1369,764,580,915,576","-15.534681733312558,-12.903533745970208,11.586800615840154,10.29805603278778,10.767867682014158,-8.107447880570573,31.733496364792643,-32.958853997380814","20.62730100597075,13.385039621209312,-11.37185345313997,8.952950180405246,-23.463156796900474,-13.739714162226562,-9.090721275716248,17.285064958883044","0","0"
"628","86","text","0","183","1479188","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","184","1492068","0-0","","200","180","4","WHEAT CROP","Right","200","120","1","THISTLE WEED","experimental","79","1,2,3,4","120,170,191.78703272110698,185.02511793331604","1,3,2,1","THISTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED","180,200.96164423799868,220.01214201458538,181.4500033167758","4,3,2,1","WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP","0,0,0,0","20,20,20,20","10,10,10,10","20,20,20,20","20,20,20,20","20,20,20,20","0,0,0,0","20,20,20,20","10,10,10,10","20,20,20,20","20,20,20,20","20,20,20,20","0,1,0,1","1518,2593,1347,840","1.3314980804431253,21.787032721106996,-6.761914787790952,37.47406126974765","20.961644237998684,19.0504977765867,-38.56213869780957,34.0735920401891","0","0"
"495","86","text","0","185","1492743","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
